Artist,Song,Popularity,Estimated Listens
Tame Impala,The Less I Know the Better,83,7072532.92
Mitski,Washing Machine Heart,81,7948227.87
Mac DeMarco,Chamber of Reflection,80,5594076.0
Clairo,Sofia,77,4382981.68
Alex G,Sarah,72,2031759.3599999999
MGMT,Time to Pretend,72,2398278.2399999998
Fleet Foxes,White Winter Hymnal,70,987291.8999999999
The Shins,New Slang,69,831655.6199999999
Bon Iver,Holocene,67,2530088.8400000003
Grizzly Bear,Two Weeks,66,562766.16
Lucy Dacus,Night Shift,65,356677.10000000003
The War on Drugs,Red Eyes,64,622555.52
Neutral Milk Hotel,In the Aeroplane Over the Sea,63,467611.83
Phoebe Bridgers,Kyoto,63,1707026.58
Big Thief,Paul,63,659962.17
Iron & Wine,Naked as We Came,63,713776.77
Death Cab for Cutie,I Will Follow You Into the Dark,62,969392.32
The National,I Need My Girl,61,1009829.38
Arcade Fire,Wake Up,60,1405495.8
Sufjan Stevens,Should Have Known Better,59,1271108.39
Beach Fossils,Down the Line,58,329216.12
Alvvays,"Archie, Marry Me",58,345318.66
Father John Misty,Chateau Lobby #4,55,494109.00000000006
Sharon Van Etten,Seventeen,55,303614.30000000005
Vampire Weekend,Step,54,1083233.52
Japanese Breakfast,Road Head,51,381220.41000000003
Soccer Mommy,Circle the Drain,51,203106.99
Bombay Bicycle Club,Luna,51,447539.79
Angel Olsen,Shut Up Kiss Me,50,247951.0
Snail Mail,Pristine,49,192866.44999999998
DIIV,Under the Sun,47,185733.66
Real Estate,Darling,47,191594.09
King Krule,Easy Easy,45,402745.5
